Waldort,WE-Typ,ST,BE,MA
091A1,WO,ST STOE 81/72- v a im N - dort vl Bergschwingel,"BE ein HB EI, mehr LH im S und O, nahezu reine FI im N - dort ein kl Lücken mit BI, örtl lichter - dort vl Brombeere, hohe Flächen-Wertleistung","MA Schäden Käfer 2016, Erhalt der Mischbaumarten und Kronenpflege bei FI, letzter Eingriff vor EN"
091A2,WO,"ST Expos NO bis SO, s steinig im SW, Geröllwall zw Stein 84-85, tiefgründiger im N - dort Bergschwingel","BE EI HB grtls in Mitte, mindere EI, reine HB bei Stein 84-85, mehr BU zw Zugweg und Grenze, mehr NH im N, einwachsender FI-Stangenholzhorst etwa in Mitte, dort auch Stroben, sehr inhomogen","MA belassen, ZV (FI)"
091A3,WO,"ST etw steiler im S, Plastik Müll in Gassen","BE FI in Reih und Glied - evtl Wiesenauff, BU-HB-UE grtls in N-Hälfte","MA DE 2016, DF um gutes H/D Verhältnis zu erhalten"
091B1,WO,,,
091B2,WO,"ST flächig Brombeere in lichten Partien, Kirrung im SW - nahe Stein 82","BE etw jünger im N - dort bis 70 % FI sowie örtl lückig mit FI-Jgw, auch mehr LÄ im N, ein EI HB, mehr BU KI im SW, 40j FI Horst im W",MA ZV
091B3,WO,,,
091B4,WO,,,
091B5,WO,,,
091C1,WO,"ST STOE 81/72, vl Bergschwingel - im NW flächig","BE einige TA, dichter im SO, lichter im N, flächig verjüngt im NO, noch ausbaufähig","MA im NW Käferloch, ende Dez. RM möglich, BHD teils noch zu gering"
091C2,WO,,,
091C3,WO,ST vl Brombeere,"BE oben ein DG, UE im W","MA DP/DE90 dichter Teile, LH in Gruppen pflegen"
091C4,WO,,,"MA DP/AG 2017, EG SL 2020, JP Brombeere, DP N Teil"
091D0,WO,,,
091E1,WO,,,
091E2,WO,,,
091F0,WO,"ST imposante Wollsack-Formation im W, Biotoptyp A/B, Stein 80 auf großem Felsblock","BE ein EI, LÄ BI, BU, KB v a im O - nahe Stein 81, viel TA Keimlinge","MA Schäden Käfer/Wind 2016, auf NVJ warten, dann Nutzen"
09141,NG,,,
092A1,WO,"ST STOE 72/71, Expos N/NO, flacher im N, im S sanfte Kuppe des gar lieblichen Honigbergs, Hohlweg zw 11/J und 12/J","BE bis 5 J jünger in N-Hälfte, bis 5 J älter in S-Hälfte, mehr BU etwa in Mitte, mehr KI im S, eiz LÄ TA, Jgw -5/+10 J, KI teils ausfallend","MA DF 2015/2017, laufend Schäden Käfer, weitere leichte DF und ZV"
092A2,WO,,"BE einzeln QP, BI, BU, FI beigemischt","MA geastet 2003/07, DE 2014, Schäden Wind 2013, DF!"
092B0,WO,"ST steiler und felsig und trocken im SO, etw flacher im NW und am Honigberg, vl Brennessel/Brombeere am Honigberg in lückigen Partien","BE LÄ-Streifen im N an A1 - s Karte, ein EI TA HB, etw mehr LH im SO, zlr nahezu reine KI-Partien, dicht in Mitte, Jgw -5/+10 J, mehr BI im NW","MA 2015-2018, 2020 Schäden Käfer, Kronenpflege bei KI DF! Komplex Gliedern durch Loslösung, ZV"
092C0,WO,ST STOE 72/81,"BE ein FI im O, REI im SW, einige KI-LÄ-UE etwa in Mitte","MA geastet 2000/07, DE 2009, DF 2021, ende Dez. erneut DF, LH unbedingt erhalten"
092D0,WO,"ST Wollsack-Formation im S, Hohlwege im N, örtl STOE 72","BE TA im N, mehr KI im S stark bedrängt und ausfallend, ein DG-Stangenhölzer im NO, einz. QP und HB","MA ab mitte Dezennium DF/LI um KI zu erhalten, Kronenpflege bei BU"
092E0,WO,"ST Feuchtbiotop, 2 Teile","BE ein Faulbaum, lokal seltene Dauerwaldgesellschaft","MA schonen, nicht befahren"
092T0,WO,,,
09231,NG,,,
09241,NG,,,
093A1,WO,,,"MA JF 2021, in Mitte noch Altholzrest, dort weiter JF ab mitte Dezennium"
093A2,WO,,"BE bis 5 J jünger, ein LI im SO, ein HB, mehr BU KI in Mitte, KI-LÄ-UE - v a mittig an Zugweg, örtl lichter","MA DE 2021, DF ende Dezennium prüfen"
093A3,WO,,"BE BI/LA meist an Gastrasse, einz. LÄ/ TA-UE, örtl wildwiesenartig in N-Hälfte, s inhomogener Waldort, LH oft protzig","MA DE 2012?, PA bei BU und REI"
093A4,WO,,,"MA DP 2013, AG 2013/2021, DE Mitte Dezennium"
093B1,WO,,"BE bis 5 J älter, 7 FI 2 KI 1 LÄ in SW-Hälfte, nahezu reine KI in NO-Hälfte","MA EDF 2006, DF 2021, DF ende Dezennium Kronenpflege KI/LA"
093B2,WO,,"BE tlw jüngerer Eindruck, ein AG, mehr EI im S, BU eher im N und im Zwischenbestand","MA geastet, EDF 2006, DF 2021, ende Dez. prüfen, ob erneut DF"
093B3,WO,,"BE +/- 10 J, ein BU BI, sehr dicht in B4 verzahnt","MA DP 2013, AG 2013, DE"
093B4,WO,ST STOE 71/72,,"MA Auff 2001, DP 2013, AG 2013/2021, DE Mitte Dezennium"
093C1,WO,"ST 15-20°, gleichmäßiger Hang","BE nahezu reine KI in W-Hälfte, FI-reichere Partien etwa in Mitte, ein TA BU LÄ, Jgw -5/+10 J flächig vorhanden, einzelne Käferbäume, liegendes und stehendes Totholz","MA JF 2021, weitere JF, ZV"
093C2,WO,ST flacher oben an Gastrasse,"BE sehr dicht, NH-UE in unterer Hälfte","MA teils nicht mehr mit Harvester erreicht, DE"
093C3,WO,ST im N an Gastrasse flacher,"BE örtl etw jüngerer Eindruck, AG im NW - dort lichter, nach S hin nahezu reine DG, QP/BU/BI in Zwischenbestand","MA geastet, EDF 2006, DF 2021, ende Dez. weitere DF"
093D1,WO,"ST Rücken im NO nahe Gastrasse - dort STOE 71/61, unten örtl felsig","BE ein BU BI, TA im NO an Rücken, FI meist unten - dort auch lichter, mittig lichtere Partie mit nahezu flächigem KI-Jgw, sonst voll bestockt, überbestockt zu C1 hin, Jgw -5/+10 J","MA DF 2018 nur sehr leicht eingegriffen, Schäden Käfer, Wind 2015/2020, DF Ziel BHD noch nicht erreicht, Kronen bedrängen sich"
093D2,WO,"ST Hohlwege, im S örtl felsig, örtl Verebnungen, 0-20°","BE im N BU-FI-Vorwüchse/UE - dort DG unterständig, mehr LÄ KI BI im S, mächtige AG in N-Hälfte, inhomogen","MA 2007 AG, DE verpasst, DF"
093E1,WO,,,"MA DE 2021, einzelne Teile noch dicht, diese durchschneiden!"
093E2,WO,ST Müll im Wald,"BE LH etw jünger, Fi bis 15 J älter, sehr diffuser Waldort, LH teils sehr protzig","MA PA, DE erst bei Maßkrugstärke ende Dezennium"
093E3,WO,ST unten STOE 72 sowie flächig vergrast,"BE Auff 2003, ein BU FI, ein BU-Zwibestreste, weitständiger nahe Stein 27/28, gut gepflegt, im W ein HB Horst","MA AG 2013/2021, DP 2014, DE"
093E4,WO,,,"MA DP 2013, AG, DE Mitte Dezennium"
093F0,WO,,,
094A1,WO,"ST felsiger Hügel etwa in Mitte, Brombeere bereits überwachsen","BE aus RM 2012; Jgw -5/+15 J, LH-Jgw meist protzig, ein TA, unscharfer Übergang in A4; DG mit Trieblausbefall, einige LA UE","MA RM 2012; EG DG 2012/14 teils verpflockt, AS 2012, Düngung/JP 2012/13, DP 2012; Schutz gegen Wild 2012-2016; DP bei DG (Trieblausbefall)"
094A2,WO,,,"MA DE 2013, Gasse geschnitten, DF"
094A3,WO,ST Bodenvertiefung nahe Str,"BE eher bescheidene BU-Qualität, teils noch zu geringe BHD für DE",MA DE 2017; DE mitte Dezennium NH freistellen
094A4,WO,,"BE DG aus Auff 2001/03, zlr Vorwuchsgrp - bis 10 J älter, interessante Mischung, überwiegend KI teils leider oft Grobastig","MA AG an DG 2012/13, DP 2013; DE gut bekronte KI fördern"
094A5,WO,"ST örtl Verebnungen, Schwarzwildeinstand","BE FI-Vorwüchse v a im NO, KI v a nahe Gastrasse, einige BU Horste mit minderer Qualität","MA AF 2003, DP 2012/15, AG 2015; DE Mischbaumarten erhalten"
094B1,WO,,"BE im NW dichter, im SO lichter mit mehr Jgw, Jgw +/- 10 J",MA ZV 2017; noch einigermaßen geschlossen - ende Dez. im NW KI entnehmen
094B2,WO,,"BE +/- 10 J, FI eher an Gastrasse",MA belassen
094B3,WO,,,
094C1,WO,"ST Kuppe bei C2, bei Stein 2/14 schöne Aussicht zur Donau Göttweig u a","BE ein BU EI HB, im NW lichtes Altholz mit grtls Jgw bzw Stangenhölzern, Jgw/Zwibest -10/+20 J, BU-Jgw protzig, Alt-KI absterbend, viel Totholz","MA ZN, ZV"
094C2,WO,"ST 2 Teile, STOE 71/72, Anhöhe im W mit schöner Aussicht nach S","BE Auff 1990, eiz TA, FI, BI, KI","MA DE 2013 im O, AG 2013; Schäden Schnee 2015; ende Dezennium im W-Teil DE"
094C3,WO,,,
094D1,WO,"ST STOE 72/71, eben","BE mittlere Schicht +/- 20 J, jüngste Schicht -10/+20 J, interessantes Plenterwaldbild sowie TA-Reservoir, LA/KI teils noch nicht Hiebsreif","MA Schäden Käfer 2017; DF um TA zu pflegen, LA nächstes Dez. EN"
094D2,WO,,,"MA DE 2013, DF LA Kronenpflege"
094D3,WO,,,"MA DE 2017; AG teils erforderlich, teils schon zu spät, weitere DE ende Dez"
094E1,WO,,"BE vmtl etw jünger im O, Jgw -5/+10 J flächig vorhanden, TA-Jgw verbissen","MA Schäden Käfer 2018/2019, belassen, ZV"
094E2,WO,"ST STOE 71/72, entlang Landesstraße","BE mehr FI im W - dort auch ein FI-Stangenholzhorste sowie ein KI-BU-UE, mehr KI im O","MA DF der Stangenholzkomplexe, ZV"
094T0,WO,,,
09431,NG,,,
09432,NG,,,
09441,NG,,,
09471,NG,,,
095A1,WO,ST örtl STOE 71/61 mit KI-Bon 4,"BE angebl bis 10 J älter im O, bis 10 J jünger im W, BU-UE im O an Str, ein FI im O-Zwickel, mehr LH lgs L-Str, größere Bereiche mit nahezu reiner KI, HB im O in Zwischenbestand","MA DF 2010/11/13/18 nur geringe Mengen, erneut DF erforderlich"
095A2,WO,ST örtl STOE 71/61 mit KI-Bon 4,"BE bis 10 J älter im O, 10 J jünger im W - dort EDF 2009, Altersübergänge nicht erkennbar, EI-UE im N an Gastrasse, ein HB BU LÄ beigemischt, Mistelbefall, aufkommende KI/DG NVJ verbissen","MA DE 2016/2017, DF erforderlich (Kronen bedrängen sich)"
095A3,WO,"ST oben steiler mit Rücken - von dort bis zur Gastrasse Expos NO, unten flacher","BE unten weniger LH, einz. LA, im NO 51J.","MA geastet, EDF 2006, DF 2021, ende Dez. DF"
095B1,WO,"ST steiler und steinig im S - dort KI-Bon 3-4, tiefgründiger im W am Graben, flacher und frohwüchsiger im O - dort KI-Bon 5-6","BE ein FI - v a am Graben im W, größere KI-Komplexe, LH-reicher etwa in Mitte und S, einz. LÄ; KI im S ausfallend","MA ZV, QP fördern?"
095B2,WO,ST STOE 71/72,"BE in Mitte BU-reichere Partie mit schlechter Qualität, nahezu reine FI im W","MA EDF 2011/2012, DF"
095B3,WO,"ST unten STOE 72/81, oben STOE 72/71 Bacheinhang","BE aus AD 2002, Erg FI 2003, +/- 5 J, BU-reichere Vorwuchshorste v a im W, KI grtls im NO, einz. EI SL","MA DP 2012, DE Mitte Dezennium, Artenreichtum erhalten! LH dichten lassen"
095C1,WO,"ST alte Wegparzelle im N - nicht erkennbar, örtl Weißmoos - u a im NO","BE aus RM 2012, einiger TA-Jgw verbissen, einzeln LH beigemischt","MA AF mit DG 2012, 2013 AS, 2012-2014 JP, Düngung und Schutz gegen Rüsselkäfer, 2013-2016 Schutz gegen Wild, DP/DE 90"
095C2,WO,,"BE ein LÄ, etw älter sowie weitständiger im S","MA EDF 2006, ein Teil DF 2021, offener Teil DF, ZV"
095C3,WO,,"BE BU inkl EI BI SL, geastet, in Zwischenbestand zurückgeblieben","MA EDF 2006, DF 2021, weitere DF ende Dezennium"
095C4,WO,ST STOE 71/72,"BE +/- 5 J, ein homogene FI-Horste nahe C1/C2, sonst s inhomogen, BU-reichere Partie im S-Teil an Str auch einige TA","MA DE 2014, DF mitte Dezennium"
095C5,WO,,,
095C6,WO,,"BE ein BU, DG tlw chlorotisch - u a im S",MA DE mitte Dezennium
095D1,WO,"ST unten sprießlicher, mittig etw felsig - dort STOE 71, Hohlwege im S","BE zlr TA im O, flächiger Jgw, Jgw -5/+10 J, nur im W dichter und noch unverjüngt, im N an Straße 40j. VJ Horst","MA DF 2012, Schäden Käfer 2016-18, JF 2021; weitere JF/RM mitte Dezennium"
095D2,WO,"ST alte Hohlwege, Bienen an Kehre","BE Jüngeres etwa im SW mit fließendem Übergang, FI meist unterständig, ein EI HB, LH-reicher im NW-Spitz","MA EDF 2008/2012, DF 2021, nächstes Dez. weitere DF"
095D3,WO,,,
095D4,WO,,,
09531,NG,,,
096A1,WO,"ST mittig örtl grobsteinig, Kirrung im O","BE +/- 5 J, im W weniger KI, im O weniger TA sowie dichter, ein ältere FI, TA tlw jünger, UE im NW",MA DF
096A2,WO,,,"MA DE/DF dringend, um Mischbaumarten zu erhalten!"
096A3,WO,"ST unten STOE 71/72, in Lücken viel Brombeere","BE Auff 2003, FI/TA im SW und am N-Rand, im S einz. KI, teils lückig teils dicht","MA AG 2013/14/16/18, DP 2013/14; DE"
096A4,WO,,,
096A5,WO,,,"MA DP 2014, AG 2018; weitere AG, ende Dez DE"
096A6,WO,"ST gezäunt, Brombeere","BE Auff 2008, etw ältere FI-NVjg im NO-Eck, mit LA EG","MA JP 2013/14/15, EG 2013/14, AG 2015, weitere AG!"
096B1,WO,ST unten STOE 72 - dort KI-Bon 6 sowie FI-Bon 8,"BE unten weniger TA sowie örtl Nudum, mehr Jgw bzw Zwibest nach S hin, Teils absterbend",MA JF/PL TA unbedingt erhalten
096B2,WO,"ST steiler im O, flacher im W, Expos NO bis SO","BE SL = LI ES EE BU, LH-Streifen im SO bei Stein 21 - v a ES EE,","MA geastet 1999/2007, DE 2008, DF: QP fördern"
096B3,WO,,,MA DE 2018 auf einem Teil; DF
096B4,WO,ST oben etw flacher,"BE streifen-/horstweise FI-KI-NVjg +/- 5 J - v a im N und im S, kl Zaun mit REI in W-Hälfte, ein LÄ, Kronenverlichtung durch Schütte und Wollaus an DG","MA AF 2008, EG LA 2012, DP 2012/15/18, AG 2015/18, DE ende Dez., AG RE"
096C1,WO,,,
096C2,WO,,,
096C3,WO,,,
096C4,WO,,,
096C5,WO,"ST STOE 72/71, vl Brombeere - im N örtl flächig","BE vorwüchsige FI-Horste - v a im N an Tr-Weg und im S, ein TA, EI-UE, schöner Jungwuchs dank guter Pflege, dichter ökologisch bedeutsamer Strauchstreifen lgs Grenze",MA AF 2003; AG 2013/15; DP 2016; DE
096C6,WO,,,
096D1,WO,,,
096D2,WO,"ST Bacheinhang, STOE 81/72, 10-20°, steiler im N, flacher im S","BE mehr FI TA sowie TA-Jgw im N, mehr KI im S, Jgw -5/+10 J, nettes Waldbild","MA nicht drängen lassen vom Jgw, Zuwächse nehmen ab, ende Dezennium RM möglich"
096E1,WO,,"BE BU inkl BI HB, teils bereits instabil","MA DE 2013, Schäden Käfer 2015; DF notwendig! Instabile entnehmen LH/TA fördern"
096E2,WO,,,MA DE um Artenreichtum zu erhalten
096E3,WO,"ST schmale E-Leitungstrasse im N, vl Waldrebe und Brombeere - örtl flächig","BE vorwüchsige FI-TA-NVjg lgs Tr-Weg, im W mehr sowie vorwüchsige BU, geläutert, eiz EI-UE, inhomogen, SL=ES/QP/HB","MA AF DG 2003/05, EG FI 2003; DP 2013, Waldrebenbekämpfung 2013/16, AG 2016; DE TA/QP fördern, vorwiegend FI entnehmen"
096F1,WO,,"BE plenterwaldartiges Waldbild, dichtere Alt-KI-Partien im SO sowie nahe Stein 13/L, Alt-KI evtl auch älter und von Mistelbefall geprägt, kl Lücken im NW","MA UE, Mistelbefall! DE dichte KI Partien pflegen"
096F2,WO,,,
096F3,WO,"ST etw steiler im W, STOE 61/71 im NO, Steine 33-36 am S-Rand des Tr-Wegs (Gemeinde Dross)","BE angeblich im W an Tr-Weg jünger, eiz BU im N nahe Str-Kurve, viel FI/QP-Vjg vor allem im O, dort flächig","MA DF 2011; Käferholz 2016/20, DF Kronenpflege!"
096G0,WO,,,
09631,NG,,,
09641,NG,,,
097A1,WO,"ST im N tiefgründiger mit STOE 72 - dort KI-Bon 6 bzw FI-Bon 8, Verebnungen im S lgs Str, örtl felsig","BE TA eher im S, mehr FI im NO, Jgw bzw Zwibest +/- 10 J, ein BI-KI-Jgw im SO, KI teils absterbend","MA laufrnd Schadholz Käfer/Wind 2015/16/18/19/20; TR: Feinerschließung anlegen, ZV"
097A2,WO,,,
097A3,WO,,,
097A4,WO,ST mehrere Teile,"BE aus JF 2002, +/- 10 J, mehr TA im W, FI-KI-UE, eiz BU-UE; sehr schön strukturiert und stabil, BI leider z.t. niedergeschnitten","MA DP 2016 im N erfolgt, Schäden Käfer 2018; DE TA/LH fördern"
097B1,WO,"ST 5-15°, verkrautet und vergrast","BE sehr ungleichalte NVJ, Altbestand stabil, SL=EE/QP/BU/HB","MA DF/JF 2014, Schäden Käfer 2020, belassen"
097B2,WO,"ST STOE 71 im N,","BE lichter Schirm mit älterem Jgw im N, im S an Straße Stangenholz, in Mitte blößig, SL=EE, AS, KB, HB, AH; einige TA, teils Trieblausbefall","MA JF/DF/AG 2014, Schäden Käfer 2020, DF?"
097B3,WO,"ST STOE 71/72, etw steiler im NO","BE BU inkl GE QP LI, ein BU-UE im O,","MA geastet 2007, örtl SR od dgl 1999/2001, DE 2013; DF ab mitte Dezennium"
097C1,WO,"ST seichtgründiger mit STOE 71 im W - dort örtl auch felsig, im N örtl tiefgründiger mit STOE 72/81","BE lückig bis dicht; ein jüngerer TA/FI/KI-Zwibest, ein LÄ im W, Lücken flächig verjüngt und sehr ungleichalt, teils bereits Stangenholz, hoher TA Anteil",MA Schäden Käfer/Wind 2016/18/20; LI verbliebener Bestand stabil
097C2,WO,ST STOE 72/71,"BE ein FI TA, SL = v a BI WD","MA DP/AG 2012, Schäden Käfer 2015; DE"
098A1,WO,,,
098A2,WO,"ST wüchsiger im S, durch Dichtstand keine Vegetation am Boden","BE etw älterer KI-FI-Streifen im S, eiz LH","MA geastet, DE 2011, DF dringend!"
098A3,WO,"ST flacher im W, felsig im O","BE bis 5 J älter, AG im NW - dort angeblich auch ein Colorado-TA, eiz EI","MA geastet, DE 2011, DF"
098A4,WO,"ST bis 5 J älter, im N sehr karge Kuppe mit Elends-Charakter",BE eiz LH/TA beigemischt,MA DE 2011; ZV/DF
098A5,WO,,,
098B1,WO,"ST 2 Teile, Stein 10/14 - schöne Fels-Formation (Wollsäcke)","BE etw älter mit mehr KI im SW, mittig und im O an Straße etw jünger, örtl lichter wg Schneedruck, ein FI-TA-Jgw, eiz LH LÄ, beim Wollsack ein BU SL Holler","MA Schäden Käfer 2016, WW 2020/21; DF"
098B2,WO,,,
098B3,WO,,"BE SL= QP, BU, sonst reine DG","MA geastet, DE 1999/2005, leichte DF 2014; DF"
098B4,WO,,"BE bis 5 J jünger, mehr DG im O sowie im Bestandsinneren - dort dichter, mehr KI FI in W-Drittel, kl Lücke im W, DG geastet, LH teils ausgefallen","MA DE 2014, DF"
098C1,WO,ST eben lgs Str,"BE eiz LÄ, Jgw bis 5 J älter","MA belassen, nächstes Dez RM"
098C2,WO,,"BE FI TA im NO, KI im SW, örtl lückig durch Schadholz sonst dicht",MA DF/ZV vitale FI/TA/KI fördern
098C3,WO,,,"MA DE erforderlich, Stabilitätspflege!"
098C4,WO,,"BE Auff DG 2003/04, ein REI BI KI, FI zt. vorwüchsig, einige TA beigemischt, im W lückig und etwas LH","MA AG 2014, Schäden Schnee 2015, DE"
098D1,WO,"ST im N örtl felsig - dort STOE 71/61 sowie Verebnungen, sonst 15-20°,seltenes Refugium des Ziegenmelkers (Nachtschwalbe)","BE TA eher im SO, Unterschicht +/- 10 J, im O und am N-Rand lichter -sonst dichter/voll bestockt, mehr Jgw im NO","MA Dauerwald, ZV, belassen"
098D2,WO,"ST Expos NO zur Str hin, örtl eben","BE FI eher im O, ungleichalte NVJ unter Schirm","MA DE 2013, DF"
098D3,WO,"ST etw flacher im N, Rücken im NW","BE im N dicht - dort auffallend feinastig da enger Pflanzverband(2x2m), etwas ältere im SO, dort 1 Individuum bereits mit Ziel BHD!","MA geastet, DE/DF 2011, Schäden Käfer 2018/19; DF"
098D4,WO,,,
098D5,WO,,"BE ein FI-Vorwüchse, einz. LA, im S ein KI, Kronenverlichtung an DG durch Schütte","MA AF 2003-5, AG/DP 2014; DE"
098E1,WO,"ST Verebnungen im NO, karger im NW - dort örtl auch Weißmoos, STOE 71 im SO","BE TA eher im SO, nahezu reine KI im NW, eiz BU, im NW wenig Vjg - im SO mehr","MA JF/LI 2014, Schäden Wind 2015/20; weitere JF ende Dezennium, DP älterer VJ Kegel!"
098E2,WO,"ST 2 Teile, STOE 71/72","BE +/- 10 J, eiz LH, mehr FI im W, S-Teil LÄ-UE an Str, N eingewachsene FI NVJ",MA ZV/DF!
098E3,WO,,,
098E4,WO,,"BE jüngere FI-KI-TA im S, sonst DG dominant aus Auff/Erg 2003-05 kämpft mit Trieblausbefall und Schütte, LÄ-UE, im N ältere TA/FI Gruppe sh. Karte, LH (RE/QP/AH/WD) im N gezäunt; sehr inhomogen","MA DP 2012/13/14/18, AG 2017; AG des LH im Zaun! DE mitte Dezennium kontrollieren"
098E5,WO,,,"MA Schutz vor Wild 2012/13, AG/DP 2017; AG RE/QP im N noch nicht gepflegt"
098F1,WO,"ST steiler sowie felsig im W, flacher und tiefgründiger im S nahe Bach, stark verdämmt mit Brombeere","BE Jgw +/- 10 J, ein SL EI LÄ, AS-Streifen im S an Grenze - dort auch ein ES, mit GE Baumhasel EG, jedoch nahezu vollständig ausgefallen (Brombeere), einz. DG aufkommend",MA DG NB?
098F2,WO,"ST Bacheinhang, steiler im NW, flacher im SO, nahezu flächig Bergschwingel, auch vl Farn und Brombeere","BE ein TA LÄ KI, nette TA-Vjg-Horste - sonst verkrautet/vergrast, SL= RO SE ES HB AH","MA PL, Erg/Auff FI, FI paßt hier standörtlich auch noch längerfristig, DG nicht da Graben Klima!"
098F3,WO,,,
098F4,WO,,,
098G1,WO,"ST im N tiefgründiger - dort flacher mit örtl Verebnungen, an Str Expos NO, muldig im SO, schöner Wollsack im S unter Zugweg","BE mehr FI TA im NW-Teil, dort lichter und lgs Str, sonst vollbestockt, jüngere Horste etwa in Mitte, Jgw/Zwibest +/- 10 J, ein BU-Jgw","MA DF 2013 erfolgt; weitere ND möglich, ZV"
098G2,WO,"ST flacher im NO, an Str Expos NO, steiler im S, geastet 2007","BE SL inkl BI QP, einz. KI","MA Geastet, DE 2013, DF"
098H1,WO,,,"MA Schäden Käfer 2012/15/16, DF 2016/17, ND"
098H2,WO,,,"MA AG 2013, DE 2015, DF mitte Dezennium"
098H3,WO,,,
09831,NG,,,
09841,NG,,,
09871,NG,,,
099A0,WO,"ST Geländebruch im O-Teil, ehemalige Sichtung: RL Gangl lustwandelnd - teilw mit Frau","BE Götterbaum im Mittelteil, Naturdenkmal Baumhasel am W-Ausläufer des Mittelteils, SN = div Exoten bzw ehem Christbaumanwärter, mehr NH sowie jünger im W-Tl, zlr Obstbäume",MA kleinere Mengen Schäden Käfer 2014/15/19
09951,NG,,,
09952,NG,,,
09991,NG,,,
09992,NG,,,
09993,NG,,,
09994,NG,,,
09995,NG,,,
09996,NG,,,
09997,NG,,,
09998,NG,,,
09999,NG,,,
099910,NG,,,
099911,NG,,,
100A1,WO,,"BE Jüngeres im S, Älteres im N, BU-EI-UE an Str und an Grenze, KI-Kandelaber im NO an Grenze, FI treibt Kronen und bedrängt andere BA stark LÄ droht auszufallen, QP Horst an Straße, sehr inhomogen","MA DF dringend notwendig, um LA zu erhalten"
100A2,WO,ST karger Rücken,"BE ein FI TA, stk durchforstet, LA teils nur geringe Kronen und wenig vital",MA belassen
100A3,WO,,,MA DE 2016/17; DF EI unbedingt gute Krone erziehen!
100B1,WO,"ST STOE 71/72,","BE eKI-Bon 5-6 BE etw jünger im S, sonst etw älter, ein BU LA FI TA, ein FI-TA-Zwibest und NVJ ungleichalt, FI-Stangenholzstreifen lgs Grenze, in Mitte durch Schadholz Licht",MA DF im KI reichen NO
100B2,WO,,,
100B3,WO,,,
100B4,WO,,,
100C1,WO,,,MA DE 2014/15; DF KI Kronenpflege
100C2,WO,"ST STOE 61/71, ehem. gezäunt, vl Brombeere","BE Auff 2007, Ausfälle NB 2014; ungleichalt","MA belassen, mitte Dezennium Kontrolle DP"
100D1,WO,,,
100D2,WO,,,
100D3,WO,,,"MA DP 2012/14, AG 2014; DF"
100D4,WO,,,"MA DE 2013, ende Dez. DF"
100D5,WO,,,MA AG 2016/18; DP 2017; DE mitte Dezennium
100E1,WO,"ST im NW STOE 72/71, am Unterhang STOE 72/81 - dort vl Bergschwingel und Farne, FI-Bon 7-9, KI-Bon 5-7, steiler im SO, Hohlwege im SO und etwa in Mitte, Quellfassung nahe Stein 5/M","BE mehr FI im W, BU-Horste im NW - nahe Stein 12/N, mehr KI TA mit Jgw/Zwibest am Unterhang, LÄ-Horste im N","MA keinesfalls DF od dgl da meist labil - v a FI-dominierte Partien, starke Verkrautung durch Brombeere!"
100E2,WO,,,
100E3,WO,ST unten STOE 81,"BE mehr AH im SO, mehr BI REI etwa in Mitte, LA UE im N, im W an Straße KI/FI und verjüngt Lücke mit BU","MA AG 2013, DE 2014, DF LH pflegen"
100E4,WO,,"BE nahezu reine DG im SO, im W HB-EI-Horst, im N mehr BI SL KI mit ein DG","MA DG geastet, 2014 DE; DF QP und gute DG fördern"
100E5,WO,,"BE bis 5 J älter, einige BI im NW, ein BU KI, dicht",MA DE unbedingt erforderlich!
100F1,WO,,,
100F2,WO,,,
10031,NG,,,
10071,NG,,,
101A1,WO,"ST seichtgründiger im S, im NO flächig verkrautet","BE durch laufende Schadereignisse sehr licht, an Straßenrand ältere BU-NVJ Kegel, in Bestand noch jünger",MA Schäden Käfer 2012-2020; ZV
101A2,WO,,,MA DE 2012; DF dringend!
101A3,WO,,"BE inhomogen, teils sehr dicht, LA bedrängt, LH in Zwischenbestand zurückgeblieben","MA LÄ-Anteil stetig erhöhen, LH erhalten"
101A4,WO,"ST Einhang, örtl flächig Brombeere","BE im W nur LH, LH meist vorwüchsig - bis 10 J älter, DG 5 J jünger und ungünstiger Standort, BU-UE im SO zw Str und Bach, inhomogen, SL = KB/UL/AH/AS/WD/BI","MA DP 2016, DE zugunsten AH/UL"
101A5,WO,ST KB Unterhang,"BE durch verpasste DP und AG protzig, retten was geht","MA Auff 2005, JP 2012; AG, DE"
101A6,WO,"ST Straßenrand, gezäunt",,"MA AF 2014, Schutz gegen Wild, Düngung, JP 2014/15/16; DP mitte Dez"
101B0,WO,,"BE mehr BU FI im SO, voll bestockte Partien in N-Hälfte, Mistelbefall an KI, etwas Totholz",MA Schäden Käfer 2016/20; ND Vorratspflege bei LA
101C1,WO,"ST Bingelkraut, 9-Blättrige Zahnwurz, vl Bergschwingel","BE ein KI LÄ im NO, oben dichter, an Str lichter mit BU-Stangenhölzern, stk Steinbuche etwa in Mitte","MA Svhäden Wind 2018/20; Steinbuche Erhalten! LI: BU Dimensionieren und NVJ einleiten, DE an Straße"
101C2,WO,,,
101D0,WO,"ST 15-25°, im N tiefgründiger sowie muldig mit vl Bergschwingel, im S seichtgründigerer Rücken mit ein Wollsäcken und VTYP AHD","BE im N mehr FI - dort FI-Bon 9, im S KI dominant, ein TA, lückige Partien - u a an Str - mittig und im NO, sonst dichter","MA DF 2012/16, TR 2017, Schäden Käfer/Wind 2014/15/16/20; im W LI: LA/KI Kronenpflege, VJ fördern"
